<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20160714,112000,138.64,138.64,138.5,138.62,19480
SBER,1,20160714,164600,139.36,139.4,139.25,139.38,78040
SBER,1,20160715,125700,138.12,138.14,138.02,138.09,20900
SBER,1,20160718,123800,139.33,139.42,139.18,139.39,149600
SBER,1,20160718,125500,138.96,138.96,138.63,138.87,882700
SBER,1,20160718,132000,138.69,138.69,138.5,138.65,269240
SBER,1,20160720,120400,139.7,139.74,139.57,139.74,75230
SBER,1,20160720,175900,138.73,138.73,138.55,138.7,119630
SBER,1,20160721,151600,138.67,138.68,138.63,138.68,1830
SBER,1,20160721,181600,138.68,138.7,138.65,138.69,7480
SBER,1,20160722,161200,138.04,138.05,137.9,138.05,61240
SBER,1,20160725,135300,136.06,136.08,136.02,136.07,19900
SBER,1,20160725,162200,136.07,136.07,136.03,136.06,1790
SBER,1,20160726,105900,134.58,134.59,134.55,134.59,224110
SBER,1,20160726,120900,134.74,134.75,134.72,134.75,27790
SBER,1,20160726,181400,134.95,134.98,134.9,134.97,12650
SBER,1,20160728,132200,135.6,135.6,135.51,135.58,78890
SBER,1,20160728,152800,136.99,137,136.95,136.98,5610
SBER,1,20160728,180000,136.37,136.39,136.31,136.38,152930
SBER,1,20160729,114600,136.83,136.84,136.8,136.84,20630
SBER,1,20160729,153200,136.88,136.89,136.81,136.89,21750
SBER,1,20160729,183000,139.5,139.51,139.47,139.51,118450
SBER,1,20160801,105900,140.14,140.15,140.06,140.12,73280
SBER,1,20160801,134000,139.03,139.03,138.8,139.02,562130
SBER,1,20160801,141400,138.81,138.81,138.71,138.8,255850
SBER,1,20160802,110500,137.45,137.52,137.34,137.5,101950
SBER,1,20160803,141100,134.85,134.88,134.77,134.87,48310
SBER,1,20160803,165600,135.17,135.17,135.08,135.15,5660
SBER,1,20160804,114700,137.02,137.04,136.91,137,215180
SBER,1,20160804,123000,136.79,136.79,136.68,136.77,13210
SBER,1,20160809,145100,138.36,138.4,138.2,138.38,254800
SBER,1,20160809,171100,139.27,139.29,139.22,139.29,55970
SBER,1,20160810,123000,139.11,139.12,139.08,139.12,4030
SBER,1,20160810,142300,139.34,139.35,139.3,139.35,14210
